iter	Passed	Remaining
0	135	135620
1	136	68256
2	137	45801
3	138	34540
4	139	27784
5	140	23274
6	141	20051
7	142	17633
8	143	15752
9	143	14246
10	144	13023
11	146	12026
12	147	11166
13	147	10423
14	148	9778
15	149	9208
16	150	8709
17	151	8263
18	152	7863
19	153	7503
20	153	7177
21	154	6881
22	155	6612
23	156	6364
24	157	6137
25	158	5927
26	159	5743
27	160	5574
28	161	5408
29	162	5251
30	163	5105
31	164	4967
32	165	4839
33	166	4716
34	166	4601
35	167	4492
36	168	4389
37	169	4292
38	170	4199
39	171	4112
40	172	4027
41	173	3952
42	174	3878
43	175	3805
44	176	3736
45	177	3674
46	178	3612
47	179	3552
48	180	3494
49	180	3438
50	181	3384
51	182	3331
52	183	3282
53	184	3233
54	185	3189
55	186	3149
56	187	3107
57	188	3064
58	189	3022
59	190	2982
60	191	2942
61	191	2904
62	192	2868
63	193	2832
64	194	2798
65	195	2764
66	196	2733
67	197	2701
68	197	2671
69	198	2641
70	199	2612
71	200	2586
72	201	2562
73	202	2535
74	203	2509
75	204	2483
76	205	2458
77	205	2434
78	206	2410
79	207	2387
80	208	2365
81	209	2343
82	209	2318
83	210	2298
84	211	2278
85	212	2258
86	213	2238
87	214	2221
88	215	2204
89	216	2186
90	217	2169
91	218	2152
92	218	2135
93	219	2119
94	220	2102
95	221	2086
96	222	2070
97	223	2057
98	224	2042
99	225	2027
100	226	2012
101	227	1998
102	227	1984
103	228	1971
104	229	1959
105	230	1946
106	231	1933
107	232	1921
108	233	1908
109	234	1896
110	235	1884
111	236	1872
112	237	1861
113	238	1849
114	238	1838
115	239	1826
116	240	1814
117	241	1803
118	242	1792
119	243	1783
120	244	1774
121	244	1762
122	245	1752
123	246	1742
124	247	1732
125	248	1722
126	249	1711
127	249	1702
128	250	1693
129	251	1684
130	252	1675
131	253	1666
132	254	1657
133	255	1648
134	255	1639
135	256	1631
136	257	1624
137	258	1617
138	259	1609
139	260	1601
140	261	1593
141	262	1583
142	262	1575
143	263	1567
144	264	1560
145	265	1552
146	266	1545
147	267	1537
148	267	1530
149	268	1523
150	269	1515
151	270	1508
152	271	1502
153	272	1495
154	273	1490
155	274	1484
156	275	1478
157	276	1472
158	277	1466
159	278	1460
160	278	1453
161	279	1447
162	280	1441
163	281	1436
164	282	1430
165	283	1425
166	284	1419
167	285	1414
168	286	1410
169	288	1406
170	289	1401
171	289	1395
172	290	1390
173	292	1386
174	292	1381
175	293	1376
176	294	1371
177	295	1366
178	296	1361
179	297	1357
180	298	1352
181	300	1349
182	301	1345
183	302	1340
184	303	1335
185	304	1330
186	305	1326
187	305	1321
